player,player_id,mu,sigma,form,tss_ott,tss_app,tss_arg,tss_putt,TalentScore,Tier,Overall2K,Driving2K,Approach2K,ShortGame2K,Putting2K,Consistency2K,DogFactor2K
Byeong Hun An,33948,-0.03965000000000002,0.38412064077144653,-0.03965000000000002,0.389,-0.318,0.181,-0.404,-0.03965000000000002,C,77,92,76,84,71,82,83
William Mouw,63121,-0.03970000000000001,0.27435621613758515,-0.03970000000000001,0.296,-0.257,-0.203,0.176,-0.03970000000000001,C,77,90,77,72,83,88,86
Ben Martin,33413,-0.04025,0.09609500507310462,-0.04025,-0.169,0.007,0.028,0.031,-0.04025,C,77,82,81,79,80,97,91
Wyndham Clark,51766,-0.041600000000000005,0.24615103764423443,-0.041600000000000005,0.092,-0.284,0.296,0.142,-0.041600000000000005,C,77,87,76,88,82,89,87
Brandt Snedeker,27649,-0.04334999999999997,0.34806608567914227,-0.04334999999999997,-0.306,-0.027,0.05,0.531,-0.04334999999999997,C,77,80,80,80,90,84,84
John Pak,59160,-0.04689999999999999,0.3316518003368392,-0.04689999999999999,-0.284,0.213,-0.015,-0.553,-0.04689999999999999,C,77,80,83,78,68,85,84
Adam Schenk,47347,-0.0513,0.09124828765516645,-0.0513,0.059,-0.088,-0.16,-0.054,-0.0513,C,77,86,79,73,78,97,91
Danny Walker,54607,-0.053,0.15856229059899457,-0.053,-0.043,-0.136,-0.016,0.235,-0.053,C,77,85,78,78,84,94,89
Hayden Springer,50484,-0.05625,0.2940804878487067,-0.05625,0.198,-0.281,-0.158,0.345,-0.05625,C,76,89,76,73,86,87,85
Tom Hoge,35532,-0.056600000000000004,0.381907929567673,-0.056600000000000004,-0.61,0.311,-0.009,-0.122,-0.056600000000000004,C,76,75,85,78,77,82,82
Takumi Kanaya,47917,-0.057300000000000025,0.34509660483213495,-0.057300000000000025,0.137,-0.401,0.325,0.333,-0.057300000000000025,C,76,88,75,89,86,84,83
Noah Goodwin,55165,-0.06815,0.10256217626396195,-0.06815,0.003,-0.164,-0.023,0.082,-0.06815,C,76,85,78,78,81,97,90
Zach Johnson,24024,-0.06895,0.33509899034961793,-0.06895,-0.369,0.009,-0.046,0.446,-0.06895,C,76,79,81,77,88,84,83
Tony Finau,29725,-0.06915000000000002,0.1612999276709902,-0.06915000000000002,-0.092,-0.135,0.206,-0.117,-0.06915000000000002,C,76,84,78,85,77,94,89
Matteo Manassero,33199,-0.07844999999999995,0.6858228026733048,-0.07844999999999995,-0.982,0.274,0.611,0.012,-0.07844999999999995,C,76,68,84,99,80,65,72
Will Gordon,56762,-0.07925000000000001,0.1974122167783274,-0.07925000000000001,0.078,-0.069,-0.224,-0.38,-0.07925000000000001,C,76,87,79,71,72,92,87
Mackenzie Hughes,35506,-0.0847,0.24015203517771821,-0.0847,-0.205,-0.171,0.311,0.071,-0.0847,C,76,82,78,89,81,89,86
Justin Lower,40162,-0.09115000000000001,0.09587839520281234,-0.09115000000000001,-0.1,-0.032,-0.255,-0.085,-0.09115000000000001,C,76,84,80,70,78,97,90
Chandler Phillips,57900,-0.0915,0.1960051019744129,-0.0915,-0.295,-0.064,0.182,-0.015,-0.0915,C,76,80,79,85,79,92,87
Luke List,27129,-0.09215,0.3148315687263059,-0.09215,0.371,-0.372,-0.137,-0.155,-0.09215,C,76,92,75,74,76,85,84
Brice Garnett,29535,-0.10660000000000003,0.1922210099512191,-0.10660000000000003,-0.043,-0.27,0.064,0.182,-0.10660000000000003,C,75,85,77,81,83,92,87
Jeremy Paul,50582,-0.11034999999999999,0.09468720434497295,-0.11034999999999999,-0.102,-0.182,-0.001,0.023,-0.11034999999999999,D,75,84,78,78,80,97,89
Paul Peterson,36824,-0.11629999999999996,0.37534017903762984,-0.11629999999999996,-0.568,0.011,0.131,0.295,-0.11629999999999996,D,75,76,81,83,85,82,81
Hayden Buckley,55708,-0.11985000000000001,0.2611238531169963,-0.11985000000000001,0.106,-0.127,-0.288,-0.513,-0.11985000000000001,D,75,87,79,69,69,88,84
Harry Higgs,33597,-0.12069999999999999,0.19201801130796733,-0.12069999999999999,0.049,-0.177,-0.373,0.002,-0.12069999999999999,D,75,86,78,66,79,92,87
Min Woo Lee,37378,-0.12279999999999999,0.33104330028965495,-0.12279999999999999,0.009,-0.43,0.346,0.161,-0.12279999999999999,D,75,86,74,90,83,85,83
Sahith Theegala,51634,-0.12795,0.07360423447963665,-0.12795,-0.158,-0.134,-0.015,-0.18,-0.12795,D,75,83,78,78,76,98,90
Karl Vilips,54304,-0.13019999999999998,0.1935964445265804,-0.13019999999999998,-0.284,0.042,-0.152,-0.411,-0.13019999999999998,D,75,80,81,73,71,92,87
Max Homa,39977,-0.13385,0.15582335083891202,-0.13385,0.005,-0.285,-0.096,0.073,-0.13385,D,75,85,76,75,81,94,88
Rikuya Hoshino,47056,-0.1366,0.13292353691753267,-0.1366,-0.022,-0.281,-0.021,-0.004,-0.1366,D,75,85,76,78,79,95,88
Patton Kizzire,32757,-0.1377,0.4117486085789079,-0.1377,-0.443,-0.122,0.506,-0.258,-0.1377,D,75,78,79,95,74,80,80
Quade Cummins,58605,-0.14654999999999999,0.2599012633033296,-0.14654999999999999,0.055,-0.345,-0.208,0.234,-0.14654999999999999,D,74,86,75,71,84,88,84
Taylor Montgomery,55789,-0.15745,0.6762861204155137,-0.15745,-0.637,-0.236,0.321,0.917,-0.15745,D,74,74,77,89,98,66,71
Beau Hossler,35461,-0.181,0.4091310914609155,-0.181,-0.286,-0.412,0.426,0.263,-0.181,D,74,80,74,93,85,80,79
Ben Silverman,39327,-0.18569999999999998,0.2830870007612501,-0.18569999999999998,-0.034,-0.457,0.071,0.195,-0.18569999999999998,D,73,85,74,81,83,87,82
Kevin Velo,58619,-0.2022,0.2310346294389653,-0.2022,-0.017,-0.291,-0.087,-0.531,-0.2022,D,73,85,76,75,69,90,84
Cam Davis,45157,-0.21249999999999997,0.14104697798960458,-0.21249999999999997,-0.347,-0.197,-0.125,-0.01,-0.21249999999999997,D,73,79,78,74,79,95,87
Camilo Villegas,27770,-0.2168,0.3891575302282269,-0.2168,-0.74,-0.019,0.035,0.085,-0.2168,D,73,73,80,80,81,81,79
Joe Highsmith,60067,-0.2222,0.125004999900004,-0.2222,-0.098,-0.362,-0.116,-0.125,-0.2222,D,73,84,75,74,77,96,87
Matthew Riedel,64693,-0.24625,0.193684451277501,-0.24625,-0.083,-0.308,-0.489,-0.094,-0.24625,D,72,84,76,62,77,92,84
Adam Hadwin,33399,-0.2514,0.21821147999131485,-0.2514,-0.146,-0.455,-0.053,0.051,-0.2514,D,72,83,74,77,80,91,84
Tim Widing,50474,-0.2546,0.17140011668607463,-0.2546,-0.009,-0.384,-0.36,-0.251,-0.2546,D,72,85,75,66,74,93,85
Sungjae Im,39971,-0.26015,0.6722709647158652,-0.26015,0.312,-0.984,0.531,0.094,-0.26015,D,72,91,66,96,81,66,70
Brian Campbell,46443,-0.27254999999999996,0.5702282437761216,-0.27254999999999996,-1.009,-0.028,0.131,0.231,-0.27254999999999996,D,71,68,80,83,84,72,72
Davis Riley,47995,-0.2866,0.38909210563395746,-0.2866,-0.455,-0.458,0.27,0.155,-0.2866,D,71,78,74,87,82,81,77
Matthieu Pavon,48153,-0.29379999999999995,0.31127627064501184,-0.29379999999999995,-0.006,-0.479,-0.545,0.053,-0.29379999999999995,D,71,85,74,60,80,86,80
Nick Dunlap,59866,-0.36065,0.788078887760187,-0.36065,-1.471,0.131,0.07,0.112,-0.36065,D,69,60,82,81,82,60,64
Kaito Onishi,55623,-0.3985,0.3445528503243975,-0.3985,-0.723,-0.378,-0.128,0.077,-0.3985,D,68,73,75,74,81,84,76
Rafael Campos,32070,-0.4036,0.18897861431036758,-0.4036,-0.386,-0.528,-0.282,-0.079,-0.4036,D,68,79,73,69,78,92,81
Taylor Dickson,51690,-0.41925,0.22164085062701472,-0.41925,-0.296,-0.62,-0.085,-0.387,-0.41925,D,68,80,71,76,72,90,80
Cristobal Del Solar,39859,-0.4267,0.3296587882442491,-0.4267,-0.66,-0.458,-0.222,0.107,-0.4267,D,68,74,74,71,82,85,77
Peter Malnati,34466,-0.44899999999999995,0.5121002506020347,-0.44899999999999995,-0.714,-0.64,0.332,0.034,-0.44899999999999995,D,67,73,71,90,80,75,70
