player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Michael Thorbjornsen,0.19,0.357,0.189,0.59,0.12,-0.23,-0.09,82,B,96,82,71,78,83,87,-1.2001385157188413,-0.12001385157188414,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Zach Johnson,-0.07,0.335,-0.069,-0.37,0.01,-0.05,0.45,76,C,79,81,77,88,84,83,-1.2358879619721543,-0.12358879619721544,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Jhonattan Vegas,0.09,0.242,0.09,0.26,0.12,-0.1,-0.28,80,B,90,82,75,74,89,89,-1.2579836453025592,-0.12579836453025592,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Rikuya Hoshino,-0.14,0.133,-0.137,-0.02,-0.28,-0.02,-0.0,75,D,85,76,78,79,95,88,-1.2660010278847666,-0.12660010278847666,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Sahith Theegala,-0.13,0.074,-0.128,-0.16,-0.13,-0.02,-0.18,75,D,83,78,78,76,98,90,-1.281466778040776,-0.1281466778040776,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Hayden Springer,-0.06,0.294,-0.056,0.2,-0.28,-0.16,0.34,76,C,89,76,73,86,87,85,-1.4888102988928462,-0.14888102988928462,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Nico Echavarria,0.04,0.417,0.038,-0.06,0.08,-0.32,0.67,79,C,84,82,68,93,80,83,-1.6583746833411275,-0.16583746833411275,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Gary Woodland,0.2,0.36,0.197,0.25,0.36,-0.43,0.23,82,B,90,86,64,84,83,87,-1.6610553581150624,-0.16610553581150625,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Paul Peterson,-0.12,0.375,-0.116,-0.57,0.01,0.13,0.3,75,D,76,81,83,85,82,81,-1.7835481926132704,-0.17835481926132704,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Max Homa,-0.13,0.156,-0.134,0.0,-0.28,-0.1,0.07,75,D,85,76,75,81,94,88,-1.8032632263034138,-0.1803263226303414,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Taylor Montgomery,-0.16,0.676,-0.157,-0.64,-0.24,0.32,0.92,74,D,74,77,89,98,66,71,-1.8525257492412353,-0.18525257492412353,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Patton Kizzire,-0.14,0.412,-0.138,-0.44,-0.12,0.51,-0.26,75,D,78,79,95,74,80,80,-1.9689353606450162,-0.19689353606450163,wind_links_open,"Open Championship-style links: wind, firm, ground game"
William Mouw,-0.04,0.274,-0.04,0.3,-0.26,-0.2,0.18,77,C,90,77,72,83,88,86,-1.9772076939303533,-0.19772076939303534,wind_links_open,"Open Championship-style links: wind, firm, ground game"
David Lipsky,0.02,0.281,0.024,-0.26,0.27,0.09,-0.32,78,C,81,84,81,73,87,86,-1.9928127672331937,-0.19928127672331938,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Ben Kohles,0.29,0.489,0.288,0.16,0.66,-0.02,-0.53,85,A,88,90,78,69,76,86,-2.1986738103239096,-0.21986738103239098,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Ben Silverman,-0.19,0.283,-0.186,-0.03,-0.46,0.07,0.2,73,D,85,74,81,83,87,82,-2.3343230553701115,-0.23343230553701116,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Nick Hardy,0.03,0.184,0.025,0.13,0.09,-0.24,-0.17,78,C,88,82,70,76,92,89,-2.4367789731922627,-0.2436778973192263,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Erik van Rooyen,0.02,0.248,0.019,0.19,0.02,-0.03,-0.4,78,C,89,81,78,71,89,87,-2.455500638925851,-0.24555006389258513,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Justin Lower,-0.09,0.096,-0.091,-0.1,-0.03,-0.26,-0.08,76,C,84,80,70,78,97,90,-2.6638459580539693,-0.2663845958053969,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Luke Clanton,0.14,0.308,0.141,0.31,0.24,-0.24,-0.27,81,B,91,84,70,74,86,88,-2.6866850215321176,-0.26866850215321175,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Byeong Hun An,-0.04,0.384,-0.04,0.39,-0.32,0.18,-0.4,77,C,92,76,84,71,82,83,-3.208257891523104,-0.3208257891523104,wind_links_open,"Open Championship-style links: wind, firm, ground game"
